Germany,357111,81768000,229
France,674843,65447374,97
Italy,301338,60626442,201.19
Albania,28748,2831741,104.17
Andorra,468,85015,182
Belgium,30528,10839905,355
Bulgaria,110994,7364570,66
Denmark,43094,5475791,129
Estonia,45227,1340021,30
Finland,338431,5399090,15.95
Greece,131957,10787690,81.75
Ireland,70182,4581269,65
Iceland,103125,318236,1
Croatia,56542,4290612,79
Luxembourg,2586,511840,194
Latvia,64589,2245800,35
Liechtenstein,160.47,36149,225
Malta,316,417608,1321
Monaco,2,32965,16319
Montenegro,13812,625266,48.7
Macedonia,25713,2057284,79.83
Moldova,33843,3560000,98
Norway,385199,4973000,13
Austria,83878.99,8430558,100.2
Poland,312678,38186860,122
Portugal,92345,10555853,119
Romania,238391,21413815,90.6
Russia,17075400,142905200,8
Serbia,88361,7498001,96
Slovakia,49035,5429763,110
Slovenia,20273,2019614,99
San Marino,60.57,31948,527.5
Sweden,450295,9415570,20.91
Switzerland,41285,7870100,188
Spain,504645,47190493,94
Czech,78864,10526685,130
Turkey,814578,73722988,90.5
Ukraine,603700,45665281,78
Hungary,93036,10005000,107.5
Vatican,0.44,993,2256.82
England,244820,61792000,246
Belarus,207595,9489000,46